Country,Population,Population_Growth,GDP_PerCapita,PrimaryEnrollment_ratio,LifeExpectancy_fem,Fertility,Parliament_fem,EarnedIncome_fem,EarnedIncome,HumanDevelopmentIndex,GenderEmpowermentMeasure,GenderDevelopmentIndex,LaborParticipation
Albania,3172155,0.58249712,1586.6799,90,79.573997,1.78,7.0999999,4171,7599,0.80699998,0.4223879,0.80400002,27.30999947
Algeria,33351136,1.5013522,2123.387,92.868332,73.412003,2.4116001,6.1999998,3797,10972,0.74800003,0.31200001,0.73500001,40
Angola,16557050,2.8290031,1069.4784,92.95993,43.958,5.8000002,15,3393,5504,0.484,0.789321,0.665433,30
Argentina,39134296,0.99420905,8692.5742,93,78.867996,2.2732,35,8595,15485,0.86000001,0.69199997,0.85600001,50.09999847
Armenia,3009549,-0.26917943,1279.7615,104.07601,75.031998,2,5.3000002,3524,6420,0.77700001,0.405,0.773,24
Australia,20697900,1.475228,23526.771,99.631233,83.5,1.817,24.700001,27866,38152,0.96499997,0.866,0.963,57.52000046
Austria,8282424,0.5948773,25979.609,99.317482,82.68,1.4,32.200001,16047,40000,0.95099998,0.74800003,0.92900002,52.13000107
Bahrain,738913,1.9300989,500,99.619225,77.279999,2.3348,0,17342,40000,0.90200001,0.62699997,0.889,39.13000107
Bangladesh,156000000,1.7523263,419.40958,99,64.575996,2.9056001,15.1,722,1567,0.52399999,0.80976,0.51599997,28.98999977
Belarus,9732500,-0.44178143,2067.6096,97.928452,75.5,1.2869999,29.1,7722,12028,0.81699997,0.679032,0.81599998,53.29999924
Belgium,10547958,0.65924329,24464.584,99.470543,82.400002,1.7324337,34.700001,20683,40000,0.94800001,0.84100002,0.93900001,45.81999969
Benin,8759655,3.1232066,323.16245,82.732758,57.354,5.5051999,7.1999998,805,1706,0.45899999,0.912679,0.442,15
Bhutan,648766,1.8282033,1086.3365,98.042786,67.040001,2.3368001,2.7,2664,5215,0.61299998,0.2156902,0.60399997,55.79999924
Bolivia,9353846,1.8540916,1095.4843,99.932121,67.358002,3.5915999,16.9,2924,5057,0.72299999,0.509,0.72000003,63.65999985
Bosnia and Herzegovina,3777117,-0.11,1911.4764,95,77.279999,1.1799999,15.7,5282,7866,0.80199999,0.354218,0.77765,30.62999916
Botswana,1858163,1.2032843,4510.6973,80,50.035999,2.9528,11.1,10275,15240,0.66399997,0.546,0.66000003,52.72999954
Brazil,189300000,1.3251307,4053.2842,90,75.839996,2.2650001,18.2,6426,11521,0.80699998,0.498,0.80400002,57.83000183
Bulgaria,7699020,-0.53086394,2249.4971,98.519135,76.300003,1.37,22.1,8219,12459,0.83399999,0.60500002,0.83200002,46.34999847
Burkina Faso,14358500,3.0055921,257.56577,81.935249,53.459999,6.0753999,11.7,861,1306,0.37200001,0.709431,0.36399999,61.09999847
Burundi,8173070,3.9211824,101.57375,90.976212,50.492001,6.8000002,30.5,291,377,0.382,0.35672,0.37799999,76.52999878
Cambodia,14196611,1.7129077,456.77103,93.079575,61.402,3.2674,9.8000002,1392,1858,0.57499999,0.40900001,0.57099998,10
Cameroon,18174696,2.1104405,686.4516,83.696198,50.731998,4.4345999,8.8999996,1359,2726,0.514,0.689313,0.505,30
Canada,32649000,1.0375549,25868.98,99,82.782562,1.59,20.799999,26055,40000,0.96700001,0.829,0.958,61.88000107
Central African Republic,4264806,1.7354968,222.85757,68.628166,45.821999,4.6539998,10.5,517,849,0.352,0.897321,0.336,30
Chad,10468179,3.1299083,265.61288,70,51.987999,6.2644,6.5,1169,1775,0.389,0.45321,0.37200001,15
Chile,16432674,0.84070981,5868.0557,95.488747,81.384003,1.9552,15,7557,18500,0.87400001,0.52100003,0.86500001,41.33000183
China (People's Republic of),1311000064,0.55837435,1611.7144,99.450706,78,1.72,20.299999,3644,5646,0.76200002,0.52600002,0.75999999,40
Colombia,43439000,1.2742271,2806.1245,98.505547,76.379997,2.425,19.3,4898,7902,0.787,0.48800001,0.78500003,20
Congo,3689299,2.1769969,1144.7698,89.813431,56.118,4.5502,8.5,2362,4755,0.61900002,0.798543,0.61199999,30
Costa Rica,4398770,1.6397804,4818.0371,99.103821,81.103996,2.1354001,38.599998,7073,12591,0.847,0.69,0.84399998,44.34999847
Croatia,4440000,-0.0450349,5484.8032,99.663956,79.370003,1.38,21.700001,11753,17025,0.86199999,0.62199998,0.85900003,42.79999924
Cuba,11266701,0.06033754,700,97.493011,80.138,1.518,36,4284,9467,0.85500002,0.67400002,0.847,39.31000137
Czech Republic,10269134,0.3418197,7086.7622,99.227585,79.669998,1.33,15.5,16603,27585,0.89700001,0.64999998,0.89399999,50
Côte d'Ivoire,18914474,1.7588733,554.48804,78.800179,48.998001,4.5832,8.5,787,2449,0.43099999,0.897654,0.412,40
Denmark,5437272,0.3923991,32563.811,99.972824,80.43,1.83,36.900002,29796,40000,0.95200002,0.88700002,0.94599998,60.93000031
Dominican Republic,9614670,1.5203284,2693.6841,95.060555,75.199997,2.4000001,19.700001,3692,8458,0.76800001,0.56099999,0.76099998,40.70000076
Ecuador,13201995,1.0737799,1633.5605,99.590118,77.856003,2.6257999,13.6,5189,9075,0.80699998,0.60500002,0.332158,52.81000137
Egypt,74166496,1.7912821,1710.8787,93.93235,73.311996,2.9475999,2,1963,7924,0.71600002,0.28299999,0.234543,30
El Salvador,6762319,1.3992527,2262.3032,96.427078,74.683998,2.723,16.700001,3670,7343,0.74699998,0.52499998,0.74299997,45.83000183
Equatorial Guinea,495639,2.3560474,7469.5552,80,52.355999,5.414,18,16378,38142,0.71700001,0.321467,0.708,40
Eritrea,4692115,3.5885384,151.92346,80.872108,59.768002,5.1436,22,349,695,0.442,0.8905432,0.428,20
Estonia,1343547,-0.18983909,6742.8159,97.670036,78.139999,1.55,18.799999,15122,23859,0.87099999,0.65499997,0.86900002,54.65000153
Eswatini,1139277.9,0.72924745,1505.7681,60,59.69,3.713625,10.8,2424,7140,0.542,0.345875,0.52700001,20
Ethiopia,77154000,2.60113,160.54475,86.105972,65.37,4.24,21.9,529,873,0.389,0.47400001,0.377,10
Fiji,829855.56,0.53149951,2370.2095,98.070251,70.891998,2.7976,11.3,2967,6079,0.74299997,0.98752,0.73699999,30
Finland,5266268,0.38370088,27480.895,99.640099,82.830002,1.84,38,27667,38262,0.954,0.89200002,0.949,57.06999969
France,61352572,0.78473669,24018.621,98.997055,84.110001,1.98,12.2,24529,39731,0.95499998,0.77999997,0.95200002,50.41999817
